id,cable_id,description,name,color,coordinates,length,rfs,owners,url,col10
american-samoa-hawaii-ash,1600,"[{""latlon"":""21.425634,-158.151714"",""name"":""Keawaula, Hawaii, United States"",""landing_point_id"":5754},{""latlon"":""-14.276546,-170.695705"",""name"":""Pago Pago, American Samoa"",""landing_point_id"":9070}]",American Samoa-Hawaii (ASH),#0982c5,"<MultiGeometry><LineString><coordinates>-158.151713447737,21.4260887795347,0 -170.695704805596,-14.2765492583146,0</coordinates></LineString></MultiGeometry>","4,250 km",May 2009,"American Samoa Government,  Elandia",,
americas-i-north,1645,"[{""latlon"":""18.372987,-64.937084"",""name"":""Magen's Bay, VI, United States"",""landing_point_id"":5758},{""latlon"":""27.638388,-80.394255"",""name"":""Vero Beach, Florida, United States"",""landing_point_id"":3813}]",Americas-I North,#f04230,"<MultiGeometry><LineString><coordinates>-64.9370867938646,18.3729890801058,0 -74.8807809215333,27.6387356468455,0 -80.3942535782376,27.6387356468455,0</coordinates></LineString></MultiGeometry>","2,012 km",September 1994,n.a.,,
americas-ii,1148,"[{""latlon"":""10.606108,-66.878294"",""name"":""Camuri, Venezuela"",""landing_point_id"":5966},{""latlon"":""4.941365,-52.321075"",""name"":""Cayenne, French Guiana"",""landing_point_id"":5575},{""latlon"":""-3.718836,-38.542968"",""name"":""Fortaleza, Brazil"",""landing_point_id"":3347},{""latlon"":""26.010202,-80.160221"",""name"":""Hollywood, Florida, United States"",""landing_point_id"":3650},{""latlon"":""14.615542,-61.094264"",""name"":""Le Lamentin, Martinique"",""landing_point_id"":5905},{""latlon"":""18.453419,-66.082884"",""name"":""Miramar, Puerto Rico, United States"",""landing_point_id"":5762},{""latlon"":""10.649785,-61.516676"",""name"":""Port of Spain, Trinidad and Tobago"",""landing_point_id"":4236},{""latlon"":""17.771864,-64.819408"",""name"":""St. Croix, Virgin Islands, United States"",""landing_point_id"":5750},{""latlon"":""12.095316,-68.896604"",""name"":""Willemstad, Curaçao"",""landing_point_id"":4275}]",Americas-II,#f89635,"<MultiGeometry><LineString><coordinates>-60.183672192478,14.7139909821528,0 -60.786210828134,13.7244791114352,0 -65.2140397226685,11.4497105314826,0</coordinates></LineString><LineString><coordinates>-80.1601717128134,26.0105531615743,0 -72.8478233773245,29.6716032656891,0 -66.3662850001571,20.1521490470855,0</coordinates></LineString><LineString><coordinates>-58.310382503909,13.3684569541784,0 -60.2932912554479,12.4430380065565,0 -61.5166790606635,10.6497889272982,0</coordinates></LineString><LineString><coordinates>-38.5429648667082,-3.7187365325791,0 -39.6719679731618,-0.266175891429046,0 -50.4076537272762,7.61675234821004,0 -58.310382503909,13.3684569541784,0</coordinates></LineString><LineString><coordinates>-58.310382503909,13.3684569541784,0 -60.183672192478,14.7139909821528,0</coordinates></LineString><LineString><coordinates>-60.183672192478,14.7139909821528,0 -60.6762987966217,15.0664879699493,0</coordinates></LineString><LineString><coordinates>-60.6762987966217,15.0664879699493,0 -61.0998824809261,15.7241355100132,0 -62.1809364025973,15.7241355100132,0 -64.4948996071141,17.9294227527369,0 -64.8166278948238,17.7739101621269,0 -66.3662850001571,20.1521490470855,0</coordinates></LineString><LineString><coordinates>-61.0941695943482,14.6154536600005,0 -61.2562788545084,14.7206026353933,0 -61.2562788545084,14.9310313117349,0 -60.6762987966217,15.0664879699493,0</coordinates></LineString><LineString><coordinates>-68.8926503979562,12.0904373265452,0 -65.2140397226685,11.4497105314826,0</coordinates></LineString><LineString><coordinates>-66.8782963561935,10.6065015532285,0 -65.2140397226685,11.4497105314826,0</coordinates></LineString></MultiGeometry>","8,373 km",August 2000,"Embratel,  AT&T,  Verizon,  Sprint,  CANTV,  Tata Communications,  Level 3,  Corporacion Nacional de Telecommunicaciones,  Telecom Argentina,  Orange,  Portugal Telecom,  C&W Networks,  Telecom Italia Sparkle,  Entel Chile",,
americas-ii,1148,"[{""latlon"":""10.606108,-66.878294"",""name"":""Camuri, Venezuela"",""landing_point_id"":5966},{""latlon"":""4.941365,-52.321075"",""name"":""Cayenne, French Guiana"",""landing_point_id"":5575},{""latlon"":""-3.718836,-38.542968"",""name"":""Fortaleza, Brazil"",""landing_point_id"":3347},{""latlon"":""26.010202,-80.160221"",""name"":""Hollywood, Florida, United States"",""landing_point_id"":3650},{""latlon"":""14.615542,-61.094264"",""name"":""Le Lamentin, Martinique"",""landing_point_id"":5905},{""latlon"":""18.453419,-66.082884"",""name"":""Miramar, Puerto Rico, United States"",""landing_point_id"":5762},{""latlon"":""10.649785,-61.516676"",""name"":""Port of Spain, Trinidad and Tobago"",""landing_point_id"":4236},{""latlon"":""17.771864,-64.819408"",""name"":""St. Croix, Virgin Islands, United States"",""landing_point_id"":5750},{""latlon"":""12.095316,-68.896604"",""name"":""Willemstad, Curaçao"",""landing_point_id"":4275}]",Americas-II,#f89635,"<MultiGeometry><LineString><coordinates>-52.3209336218908,4.94154900500162,0 -50.4076537272762,7.61675234821004,0</coordinates></LineString><LineString><coordinates>-66.1066660434486,18.4661054185857,0 -66.3662850001571,20.1521490470855,0</coordinates></LineString></MultiGeometry>","8,373 km",August 2000,"Embratel,  AT&T,  Verizon,  Sprint,  CANTV,  Tata Communications,  Level 3,  Corporacion Nacional de Telecommunicaciones,  Telecom Argentina,  Orange,  Portugal Telecom,  C&W Networks,  Telecom Italia Sparkle,  Entel Chile",,
amerigo-vespucci,1494,"[{""latlon"":""12.150687,-68.276682"",""name"":""Kralendijk, Bonaire, Netherlands"",""landing_point_id"":14635},{""latlon"":""12.095316,-68.896604"",""name"":""Willemstad, Curaçao"",""landing_point_id"":10729}]",Amerigo Vespucci,#f4878f,"<MultiGeometry><LineString><coordinates>-68.2766352093471,12.1510665875669,0 -68.7853262552356,11.9714304158235,0 -68.8920156327809,11.987861466678,0 -68.8926503979562,12.0904373265452,0</coordinates></LineString></MultiGeometry>",85 km,1999,Antelecom,,
angola-domestic-network-system-adones,1374,"[{""latlon"":""-12.580063,13.407776"",""name"":""Benguela, Angola"",""landing_point_id"":11506},{""latlon"":""-5.556653,12.189808"",""name"":""Cabinda, Angola"",""landing_point_id"":10857},{""latlon"":""-8.812852,13.235022"",""name"":""Luanda, Angola"",""landing_point_id"":4190},{""latlon"":""-13.866854,12.531019"",""name"":""Lucira, Angola"",""landing_point_id"":11507},{""latlon"":""-7.233410,12.866663"",""name"":""N'zeto, Angola"",""landing_point_id"":11504},{""latlon"":""-15.186995,12.156019"",""name"":""Namibe, Angola"",""landing_point_id"":11508},{""latlon"":""-10.702988,13.782287"",""name"":""Porto Amboim, Angola"",""landing_point_id"":11505},{""latlon"":""-6.141003,12.352112"",""name"":""Soyo, Angola"",""landing_point_id"":11503}]",Angola Domestic Network System (ADONES),#f04230,"<MultiGeometry><LineString><coordinates>12.3522139224197,-6.14061383941319,0 11.8117846177649,-5.9784392723583,0 11.8117846177649,-5.71847180113066,0 12.1898116937169,-5.55617477917151,0 11.6497730137854,-5.55617477917151,0 11.6497730137854,-6.14061383941319,0 12.3522139224197,-6.14061383941319,0 11.9200853222936,-6.57280216412937,0 12.3265303468642,-7.23291941204813,0 12.8666666829765,-7.23291941204813,0 12.5426434750176,-7.55647471165219,0 13.2350257970275,-8.81256504998484,0 12.7775065898884,-8.67714619879081,0 12.7775065898884,-9.83528269798183,0 13.2422523544081,-10.7025994205343,0 13.7823886905205,-10.7025994205343,0 13.4078772370779,-11.8358654618017,0 13.4078772370779,-12.5795899366854,0 12.8677409009655,-12.5795899366854,0 12.098893789374,-13.4439121267533,0 12.5310223895001,-13.8664822011432,0 11.9908860533877,-13.8664822011432,0 11.7239917112082,-14.7665297380103,0 12.1561203113342,-15.1866200198584,0</coordinates></LineString></MultiGeometry>","1,600 km",2008,Angola Telecom,http://www.angolatelecom.com,
antillas-1,1227,"[{""latlon"":""18.441651,-66.016869"",""name"":""Isla Verde, Puerto Rico, United States"",""landing_point_id"":5773},{""latlon"":""18.453419,-66.082884"",""name"":""Miramar, Puerto Rico, United States"",""landing_point_id"":5762},{""latlon"":""18.621278,-68.438254"",""name"":""Punta Cana, Dominican Republic"",""landing_point_id"":5694},{""latlon"":""18.500001,-69.983273"",""name"":""Santo Domingo, Dominican Republic"",""landing_point_id"":4242}]",Antillas 1,#6c70b5,"<MultiGeometry><LineString><coordinates>-69.9832746253477,18.5002817373173,0 -69.3351305532491,17.8808222518486,0 -68.6869864811504,17.8808222518486,0 -68.1750727812949,18.3703013934312,0 -68.4381585324225,18.6213720564552,0 -67.5417236205904,19.1197228555249,0 -66.0827891072383,18.453600185548,0 -66.0168711851852,18.4418351718713,0</coordinates></LineString></MultiGeometry>",650 km,June 1997,"AT&T,  Verizon,  Sprint,  Tata Communications,  Orange,  C&W Networks,  Telecom Italia Sparkle,  Embratel",,
apcn-2,1049,"[{""latlon"":""13.765555,121.064939"",""name"":""Batangas, Philippines"",""landing_point_id"":3218},{""latlon"":""34.976653,139.954652"",""name"":""Chikura, Japan"",""landing_point_id"":5885},{""latlon"":""31.619880,121.395212"",""name"":""Chongming, China"",""landing_point_id"":5802},{""latlon"":""1.309286,103.904693"",""name"":""Katong, Singapore"",""landing_point_id"":5939},{""latlon"":""36.801787,140.750940"",""name"":""Kitaibaraki, Japan"",""landing_point_id"":5703},{""latlon"":""3.815169,103.322565"",""name"":""Kuantan, Malaysia"",""landing_point_id"":5903},{""latlon"":""22.271496,113.948341"",""name"":""Lantau Island, Hong Kong"",""landing_point_id"":5852},{""latlon"":""35.170147,128.999310"",""name"":""Pusan, Korea, Rep."",""landing_point_id"":4183},{""latlon"":""23.354552,116.675488"",""name"":""Shantou, China"",""landing_point_id"":5803},{""latlon"":""25.181357,121.462595"",""name"":""Tanshui, Taiwan"",""landing_point_id"":5982}]",APCN-2,#0982c5,"<MultiGeometry><LineString><coordinates>140.75095108855,36.8018612473757,0 141.032591514033,35.616665587328,0 140.20993584681,34.8945881521358,0 139.954857902509,34.9765677244994,0 139.45915512867,29.9823548532164,0 135.540993841832,28.6618965781295,0 121.462585846359,25.181714657129,0 122.188757206932,25.2034530214665,0 124.823325653079,24.414711270247,0 123.215709604429,20.9704849601512,0 118.669033137837,21.6117844216765,0 116.677530642387,23.3550029381846,0 114.437786135293,15.0916643753113,0</coordinates></LineString><LineString><coordinates>103.895020166387,1.30948926877133,0 104.159180135503,1.21107566302128,0</coordinates></LineString><LineString><coordinates>104.159180135503,1.21107566302128,0 104.338086258765,1.22874742538077,0</coordinates></LineString><LineString><coordinates>104.338086258765,1.22874742538077,0 111.489546036354,3.72845174196885,0 113.8094662679,12.7051510514491,0</coordinates></LineString><LineString><coordinates>113.8094662679,12.7051510514491,0 113.809759236443,12.7063894940461,0 113.810735798251,12.7099142591691,0 113.812298297144,12.7158205127061,0 113.814446733122,12.7241080884325,0 113.817181106185,12.7345862449653,0 113.820501416333,12.7473499596419,0 113.824505319746,12.7623036428279,0 113.828997504064,12.7794469052561,0 113.834075625467,12.7986840699224,0 113.839739683954,12.8202050992238,0 113.845892023346,12.8438189791903,0 113.852630299822,12.8694299129566,0 113.859856857203,12.8971324762693,0 113.867669351669,12.9268307868908,0 113.876067783219,12.958524124624,0 113.884856839493,12.992211717997,0 113.894231832852,13.0277024585386,0 113.903997450933,13.0651858135763,0 113.9143490061,13.1045657462882,0 113.925188842171,13.1458413272805,0 113.936516959146,13.1888214170974,0 113.948333357025,13.2335050917014,0 113.960540379628,13.2800814750016,0 113.973235683134,13.3283593940645,0 113.986419267545,13.3783377939394,0 113.999895820498,13.4299205905674,0 114.013958310536,13.4832016696491,0 114.028411425297,13.5379899609815,0 114.043255164782,13.5944742106187,0 114.05848952899,13.6524633535379,0 114.074114517921,13.7119562163163,0 114.090227787756,13.7729515872745,0 114.106634026134,13.835353393054,0 114.123430889235,13.8992552188454,0 114.140618377059,13.9645609669911,0 114.158196489606,14.0311746093475,0 114.176067570696,14.0990949079678,0 114.19432927651,14.1684152772746,0 114.212981607046,14.239039667919,0 114.231926906125,14.3108721131252,0 114.251067517566,14.3839113298852,0 114.27069640991,14.4581560041329,0 114.290520614617,14.5336047903054,0 114.310735444046,14.6101618125045,0 114.331243242019,14.6878257613879,0 114.352044008533,14.766595298817,0 114.373040087409,14.8463746614324,0 114.394329134828,14.927162558588,0 114.437786135293,15.0916643753113,0 114.437786135293,15.0916643753113,0 114.437786135293,15.0916643753113,0</coordinates></LineString><LineString><coordinates>140.75095108855,36.8018612473757,0 144.74450294698,33.0553379627616,0 135.509353239247,29.8831685414788,0 129.597443364799,30.9719247255039,0</coordinates></LineString><LineString><coordinates>129.597443364799,30.9719247255039,0 128.582795646085,31.1576292889323,0 121.395300737774,31.61980006276,0 126.470004174056,24.4840525507292,0 124.208775307182,19.1350388156758,0 118.152529597483,20.1476567715239,0 113.949114606472,22.2714915823558,0 109.473824808059,7.00739643539523,0 103.322657290604,3.81517747443532,0 104.079590348136,3.89760753089044,0 104.679003986005,2.36078972640562,0 104.385351850281,1.35967092786536,0</coordinates></LineString><LineString><coordinates>104.385351850281,1.35967092786536,0 104.196973077481,1.31573762428291,0</coordinates></LineString><LineString><coordinates>104.196973077481,1.31573762428291,0 103.895020166387,1.30948926877133,0</coordinates></LineString><LineString><coordinates>128.582795646085,31.1576292889323,0 128.999494569642,35.1703816994832,0 129.597443364799,30.9719247255039,0</coordinates></LineString></MultiGeometry>","19,000 km",December 2001,"SingTel,  Verizon,  KDDI,  Chunghwa Telecom,  AT&T,  BT,  Orange,  Softbank Telecom,  NTT,  Tata Communications,  Telekom Malaysia,  Starhub,  PLDT,  China Unicom,  KT,  SingTel Optus,  Telstra,  PCCW,  China Telecom,  LG Uplus,  New World Telecom,  Vodafone",,
apcn-2,1049,"[{""latlon"":""13.765555,121.064939"",""name"":""Batangas, Philippines"",""landing_point_id"":3218},{""latlon"":""34.976653,139.954652"",""name"":""Chikura, Japan"",""landing_point_id"":5885},{""latlon"":""31.619880,121.395212"",""name"":""Chongming, China"",""landing_point_id"":5802},{""latlon"":""1.309286,103.904693"",""name"":""Katong, Singapore"",""landing_point_id"":5939},{""latlon"":""36.801787,140.750940"",""name"":""Kitaibaraki, Japan"",""landing_point_id"":5703},{""latlon"":""3.815169,103.322565"",""name"":""Kuantan, Malaysia"",""landing_point_id"":5903},{""latlon"":""22.271496,113.948341"",""name"":""Lantau Island, Hong Kong"",""landing_point_id"":5852},{""latlon"":""35.170147,128.999310"",""name"":""Pusan, Korea, Rep."",""landing_point_id"":4183},{""latlon"":""23.354552,116.675488"",""name"":""Shantou, China"",""landing_point_id"":5803},{""latlon"":""25.181357,121.462595"",""name"":""Tanshui, Taiwan"",""landing_point_id"":5982}]",APCN-2,#0982c5,"<MultiGeometry><LineString><coordinates>114.437786135293,15.0916643753113,0 121.066004096051,13.7624231943537,0 113.8094662679,12.7051510514491,0</coordinates></LineString></MultiGeometry>","19,000 km",December 2001,"SingTel,  Verizon,  KDDI,  Chunghwa Telecom,  AT&T,  BT,  Orange,  Softbank Telecom,  NTT,  Tata Communications,  Telekom Malaysia,  Starhub,  PLDT,  China Unicom,  KT,  SingTel Optus,  Telstra,  PCCW,  China Telecom,  LG Uplus,  New World Telecom,  Vodafone",,
aphrodite-2,1303,"[{""latlon"":""35.511809,24.012165"",""name"":""Chania, Greece"",""landing_point_id"":5723},{""latlon"":""34.766411,32.466544"",""name"":""Yeroskipos, Cyprus"",""landing_point_id"":5811}]",Aphrodite 2,#f04230,"<MultiGeometry><LineString><coordinates>32.4666527981625,34.7665718254425,0 30.7382360538391,34.7665718254425,0 27.0116761937691,35.9923141695865,0 24.395564765797,35.7356585610314,0 24.0121665998998,35.5120435761287,0</coordinates></LineString></MultiGeometry>",868 km,September 1994,n.a.,,
apollo,1213,"[{""latlon"":""50.828110,-4.544401"",""name"":""Bude, United Kingdom"",""landing_point_id"":4554},{""latlon"":""48.730260,-3.459928"",""name"":""Lannion, France"",""landing_point_id"":5837},{""latlon"":""40.123343,-74.047041"",""name"":""Manasquan, New Jersey, United States"",""landing_point_id"":3686},{""latlon"":""40.800283,-72.872237"",""name"":""Shirley, New York, United States"",""landing_point_id"":3783}]",Apollo,#4fc1af,"<MultiGeometry><LineString><coordinates>-72.872188594439,40.8005796939723,0 -53.3378274327637,41.1080555011468,0 -24.6332579236,48.1401846517792,0 -4.54440496723196,50.8282030065564,0</coordinates></LineString><LineString><coordinates>-74.0470901058777,40.1234902686849,0 -53.3378274327637,35.6243658309042,0 -24.6332579236,43.2556942055831,0 -4.26232508893499,48.676836853874,0 -3.45988425114161,48.7305546797012,0</coordinates></LineString></MultiGeometry>","13,000 km",February 2003,Vodafone,,
arcos,1078,"[{""latlon"":""17.495546,-88.181610"",""name"":""Belize City, Belize"",""landing_point_id"":5791},{""latlon"":""11.991776,-83.771450"",""name"":""Bluefields, Nicaragua"",""landing_point_id"":5920},{""latlon"":""21.095727,-86.767549"",""name"":""Cancún, Mexico"",""landing_point_id"":3842},{""latlon"":""10.386699,-75.505683"",""name"":""Cartagena, Colombia"",""landing_point_id"":5693},{""latlon"":""24.403330,-75.525898"",""name"":""Cat Island, Bahamas"",""landing_point_id"":5784},{""latlon"":""22.629711,-74.194990"",""name"":""Crooked Island, Bahamas"",""landing_point_id"":5782},{""latlon"":""18.441651,-66.016869"",""name"":""Isla Verde, Puerto Rico, United States"",""landing_point_id"":5773},{""latlon"":""9.437334,-79.753532"",""name"":""Maria Chiquita, Panama"",""landing_point_id"":5928},{""latlon"":""25.067039,-77.340252"",""name"":""Nassau, Bahamas"",""landing_point_id"":4230},{""latlon"":""25.932944,-80.162370"",""name"":""North Miami Beach, Florida, United States"",""landing_point_id"":5772},{""latlon"":""21.851098,-72.120235"",""name"":""Providenciales, Turks and Caicos Islands"",""landing_point_id"":4258},{""latlon"":""15.727138,-88.597229"",""name"":""Puerto Barrios, Guatemala"",""landing_point_id"":5848},{""latlon"":""14.021609,-83.393911"",""name"":""Puerto Cabezas, Nicaragua"",""landing_point_id"":5921},{""latlon"":""15.844802,-87.946058"",""name"":""Puerto Cortes, Honduras"",""landing_point_id"":5851},{""latlon"":""15.261221,-83.776766"",""name"":""Puerto Lempira, Honduras"",""landing_point_id"":5692},{""latlon"":""9.988603,-83.037662"",""name"":""Puerto Limon, Costa Rica"",""landing_point_id"":5810},{""latlon"":""19.799341,-70.691232"",""name"":""Puerto Plata, Dominican Republic"",""landing_point_id"":5823},{""latlon"":""18.621278,-68.438254"",""name"":""Punta Cana, Dominican Republic"",""landing_point_id"":5694},{""latlon"":""11.708598,-70.204367"",""name"":""Punto Fijo, Venezuela"",""landing_point_id"":5965},{""latlon"":""11.482914,-72.952705"",""name"":""Riohacha, Colombia"",""landing_point_id"":5807},{""latlon"":""15.915151,-85.954750"",""name"":""Trujillo, Honduras"",""landing_point_id"":5850},{""latlon"":""20.212549,-87.463587"",""name"":""Tulum, Mexico"",""landing_point_id"":5908},{""latlon"":""12.095316,-68.896604"",""name"":""Willemstad, Curaçao"",""landing_point_id"":4275}]",ARCOS,#4fc1af,"<MultiGeometry><LineString><coordinates>-74.1950392198192,22.6298921117731,0 -74.365791051982,22.4711585610375,0 -74.4872753409214,22.5433328105735,0 -74.6160838434222,23.7394200063033,0 -75.5258976520266,24.4033285456409,0 -77.3402030073807,25.0672150660093,0 -80.1622224926106,25.933206837953,0</coordinates></LineString><LineString><coordinates>-72.1194059245923,21.8510922411812,0 -72.9153526263612,22.6113225137516,0 -73.6731645895201,22.7872721133335,0 -73.974189766896,22.7444091807508,0 -74.0708205578168,22.653055520243,0 -74.1950392198192,22.6298921117731,0</coordinates></LineString><LineString><coordinates>-66.0168711851852,18.4418351718713,0 -67.5693114916719,18.9595586262616,0 -69.8122786527329,13.590962136695,0 -68.8926503979562,12.0904373265452,0 -70.1281963976838,12.3550037131962,0 -70.5138894838302,12.1126855687413,0 -70.2043193906326,11.7087810894319,0 -70.3933329286086,11.7087810894319,0 -71.7601288353575,13.2471937704814,0 -73.0085654509533,12.5791795494321,0 -72.9527061155246,11.4831123093371,0 -73.8619828151345,12.1215652509318,0 -75.717938531608,11.1237183787844,0 -75.5057316506874,10.3868034557083,0 -79.4446509794606,10.0411014872407,0 -79.7535313758812,9.43762503396889,0 -79.7534764442795,10.0635060782462,0 -82.5422501034517,10.0635060782462,0 -83.0376599087487,9.9885936703727,0 -83.0296582054328,11.4521033402621,0 -83.7715461076069,11.9916824979547,0 -83.0296582054328,12.4094683070662,0 -83.0296582054328,13.6153557368791,0 -83.3964487170794,14.0161100560995,0 -83.0296582054328,14.2530483190557,0 -83.0296582054328,15.3080390187543,0 -83.7768195413711,15.2613148868423,0</coordinates></LineString><LineString><coordinates>-72.1194059245923,21.8510922411812,0 -71.7246796417201,21.6767761740728,0 -70.6911842801079,19.799435767745,0 -70.1568096586639,20.126110388993,0 -68.8204336522402,19.2809303528181,0 -68.4381585324225,18.6213720564552,0 -67.5220459001553,19.289687098408,0 -66.0168711851852,18.4418351718713,0</coordinates></LineString><LineString><coordinates>-83.7768195413711,15.2613148868423,0 -83.7553901131925,16.2494821584451,0 -84.9710081485217,16.2494821584451,0 -85.954698857916,15.9152447405197,0 -86.5688585790895,16.2345745405663,0 -86.9386337077623,16.2345745405663,0 -87.9461586287878,15.8449856571937,0 -87.9484962736162,16.2345745405663,0 -88.5971347301302,15.7272375411234,0 -88.1207617765817,17.0748230414533,0 -88.1821875143171,17.4963852048391,0 -87.7007974744789,17.7236858651383,0 -87.0159774029713,19.5521708641896,0 -87.4635356796668,20.2127362857253,0 -86.7697373430351,20.1974312949016,0 -86.4860461377546,20.9278029278637,0 -86.767588907057,21.095724564803,0 -86.5125170662679,21.8024102733173,0 -83.6677375873958,24.4216471147716,0 -81.1451319525583,24.4216471147716,0 -80.15738851166,24.7957031472897,0 -80.1622224926106,25.933206837953,0</coordinates></LineString></MultiGeometry>","8,600 km",December 2001,"C&W Networks,  CANTV,  Codetel,  Hondutel,  Belize Telemedia,  Enitel,  AT&T,  Alestra,  Verizon,  RACSA,  United Telecommunication Services (UTS),  Telecarrier,  Tricom USA,  Telecomunicaciones Ultramarinas de Puerto Rico,  Internexa,  Orbinet Overseas,  Telepuerto San Isidro,  Bahamas Telecommunications Company,  Instituto Costarricense de Electricidad,  Orbitel",http://www.cwnetworks.com/,
asia-pacific-gateway-apg,1617,"[{""latlon"":""31.619880,121.395212"",""name"":""Chongming, China"",""landing_point_id"":5802},{""latlon"":""16.051564,108.214750"",""name"":""Danang, Vietnam"",""landing_point_id"":5986},{""latlon"":""3.815169,103.322565"",""name"":""Kuantan, Malaysia"",""landing_point_id"":5903},{""latlon"":""35.037517,139.816956"",""name"":""Maruyama, Japan"",""landing_point_id"":5887},{""latlon"":""30.306306,121.191404"",""name"":""Nanhui, China"",""landing_point_id"":5804},{""latlon"":""35.170147,128.999310"",""name"":""Pusan, Korea, Rep."",""landing_point_id"":4183},{""latlon"":""34.336834,136.874380"",""name"":""Shima, Japan"",""landing_point_id"":5883},{""latlon"":""7.078449,100.596980"",""name"":""Songkhla, Thailand"",""landing_point_id"":4265},{""latlon"":""1.327255,103.946588"",""name"":""Tanah Merah, Singapore"",""landing_point_id"":9135},{""latlon"":""24.863596,121.801462"",""name"":""Toucheng, Taiwan"",""landing_point_id"":5981},{""latlon"":""22.318297,114.258692"",""name"":""Tseung Kwan O, Hong Kong"",""landing_point_id"":5857}]",Asia Pacific Gateway (APG),#b3b5b7,"<MultiGeometry><LineString><coordinates>125.907992853441,24.4084864698784,0 122.919420751823,25.2562804988541,0 121.801452793802,24.8635042542553,0</coordinates></LineString><LineString><coordinates>121.191296976042,30.3062179750002,0 121.407312448015,30.4935451161719,0 127.387581649036,28.3606084955434,0</coordinates></LineString><LineString><coordinates>127.874983647506,29.6357896836189,0 121.395300737774,31.61980006276,0</coordinates></LineString><LineString><coordinates>139.392358300989,31.803980108149,0 136.874000710018,34.3368305744122,0</coordinates></LineString><LineString><coordinates>128.699690094526,30.3235001168402,0 132.237382900891,29.6536132013938,0 139.392358300989,31.803980108149,0 139.816967375192,35.0375188597286,0</coordinates></LineString><LineString><coordinates>113.543841456071,14.1769368142223,0 108.192478059527,16.043394807181,0</coordinates></LineString><LineString><coordinates>108.450095064529,6.88360466370549,0 100.599710000816,7.07591857981464,0</coordinates></LineString><LineString><coordinates>114.607219609014,18.0375411564492,0 114.25868469967,22.318295858961,0</coordinates></LineString><LineString><coordinates>103.946484973679,1.32725798867325,0 104.203906666319,1.33829015173088,0 104.370215142254,1.38153965364472,0 105.694530610347,2.3337616617398,0 106.294920810025,5.59580025316739,0</coordinates></LineString><LineString><coordinates>103.322657290604,3.81517747443532,0 106.294920810025,5.59580025316739,0 108.450095064529,6.88360466370549,0 112.172260396462,9.09884530249651,0 113.543841456071,14.1769368142223,0 114.607219609014,18.0375411564492,0 121.140711074378,21.5472176084353,0 124.702622613586,21.0692088100983,0 125.907992853441,24.4084864698784,0 127.387581649036,28.3606084955434,0 127.874983647506,29.6357896836189,0 128.699690094526,30.3235001168402,0 128.999494569642,35.1703816994832,0</coordinates></LineString></MultiGeometry>","10,400 km",Q2 2016,"NTT,  China Telecom,  China Unicom,  Chunghwa Telecom,  KT,  Starhub,  LG Uplus,  China Mobile,  Viettel Corporation,  Vietnam Telecom International,  Global Transit,  Facebook,  TIME dotCom",,
asia-submarine-cable-express-asecahaya-malaysia,1679,"[{""latlon"":""1.389047,103.987017"",""name"":""Changi South, Singapore"",""landing_point_id"":5937},{""latlon"":""14.116617,122.949899"",""name"":""Daet, Philippines"",""landing_point_id"":10355},{""latlon"":""35.037517,139.816956"",""name"":""Maruyama, Japan"",""landing_point_id"":5887},{""latlon"":""2.295516,103.849908"",""name"":""Mersing, Malaysia"",""landing_point_id"":5902},{""latlon"":""10.630009,103.506647"",""name"":""Sihanoukville, Cambodia"",""landing_point_id"":9118},{""latlon"":""22.318297,114.258692"",""name"":""Tseung Kwan O, Hong Kong"",""landing_point_id"":5857}]",Asia Submarine-cable Express (ASE)/Cahaya Malaysia,#f89635,"<MultiGeometry><LineString><coordinates>110.317281241797,4.31693670528203,0 103.916699838529,8.30593872734503,0 103.507032159991,10.6355844346461,0</coordinates></LineString><LineString><coordinates>106.930369578617,2.63543036093724,0 103.850684260295,2.29570682843529,0</coordinates></LineString><LineString><coordinates>119.371962327376,18.7594837236507,0 114.25868469967,22.318295858961,0</coordinates></LineString><LineString><coordinates>126.857210931006,19.4797309128945,0 122.024011229889,20.267253802831,0 118.032510151256,17.9927785122651,0 116.649893943215,11.5213902841917,0 110.317281241797,4.31693670528203,0 106.930369578617,2.63543036093724,0 104.390234659322,1.37275313604985,0 104.19931682582,1.32237648486383,0 103.98593807073,1.38534713452271,0</coordinates></LineString><LineString><coordinates>139.816967375192,35.0375188597286,0 140.195873356772,28.0969776211811,0 126.857210931006,19.4797309128945,0 124.031138714272,15.1690607571951,0 122.9500847926,14.1165216865976,0</coordinates></LineString></MultiGeometry>","7,500 km",August 2012,"NTT,  PLDT,  Telekom Malaysia,  Starhub",,
